"Borough","MajorCategory","SubCategory","Value","CrimeDate","Region"
"E01000020",1,4,2006,NA,"Unknown"
"E01000020",1,4,2006,NA,"Unknown"
"E01000020",1,9,2006,NA,"Unknown"
"E01000020",1,12,2006,NA,"Unknown"
"E01000021",1,6,2006,NA,"Unknown"
"E01000021",1,11,2006,NA,"Unknown"
"E01000021",1,3,2006,NA,"Unknown"
"E01000021",1,1,2006,NA,"Unknown"
"E01000021",1,3,2006,NA,"Unknown"
"E01000021",1,9,2006,NA,"Unknown"
"E01000021",1,4,2006,NA,"Unknown"
"E01000021",1,11,2006,NA,"Unknown"
"E01000021",1,12,2006,NA,"Unknown"
"E01000021",1,1,2006,NA,"Unknown"
"E01000021",1,2,2006,NA,"Unknown"
"E01000021",1,2,2006,NA,"Unknown"
"E01000021",1,10,2006,NA,"Unknown"
"E01000021",1,7,2006,NA,"Unknown"
"E01000021",1,8,2006,NA,"Unknown"
"E01000021",1,12,2006,NA,"Unknown"
"E01000021",1,3,2006,NA,"Unknown"
"E01000021",1,12,2006,NA,"Unknown"
"E01000021",1,1,2006,NA,"Unknown"
"E01000021",1,12,2006,NA,"Unknown"
"E01000021",1,5,2006,NA,"Unknown"
"E01000021",1,2,2006,NA,"Unknown"
"E01000021",1,7,2006,NA,"Unknown"
"E01000021",1,2,2006,NA,"Unknown"
"E01000021",1,11,2006,NA,"Unknown"
"E01000021",1,2,2006,NA,"Unknown"
"E01000021",1,12,2006,NA,"Unknown"
"E01000021",1,4,2006,NA,"Unknown"
"E01000022",1,1,2006,NA,"Unknown"
"E01000022",1,7,2006,NA,"Unknown"
"E01000022",1,7,2006,NA,"Unknown"
"E01000022",1,11,2006,NA,"Unknown"
"E01000022",1,3,2006,NA,"Unknown"
"E01000022",1,4,2006,NA,"Unknown"
"E01000022",1,4,2006,NA,"Unknown"
"E01000022",1,12,2006,NA,"Unknown"
"E01000022",1,10,2006,NA,"Unknown"
"E01000022",1,4,2006,NA,"Unknown"
"E01000022",1,7,2006,NA,"Unknown"
"E01000022",1,8,2006,NA,"Unknown"
"E01000022",1,3,2006,NA,"Unknown"
"E01000022",1,1,2006,NA,"Unknown"
"E01000022",1,5,2006,NA,"Unknown"
"E01000022",1,7,2006,NA,"Unknown"
"E01000022",1,2,2006,NA,"Unknown"
"E01000022",1,11,2006,NA,"Unknown"
"E01000022",1,3,2006,NA,"Unknown"
"E01000022",1,11,2006,NA,"Unknown"
"E01000022",1,5,2006,NA,"Unknown"
"E01000022",1,2,2006,NA,"Unknown"
"E01000023",1,1,2006,NA,"Unknown"
"E01000023",1,7,2006,NA,"Unknown"
"E01000023",1,5,2006,NA,"Unknown"
"E01000023",1,4,2006,NA,"Unknown"
"E01000023",1,2,2006,NA,"Unknown"
"E01000023",1,8,2006,NA,"Unknown"
"E01000023",1,6,2006,NA,"Unknown"
"E01000023",1,1,2006,NA,"Unknown"
"E01000023",1,9,2006,NA,"Unknown"
"E01000023",1,5,2006,NA,"Unknown"
"E01000023",1,10,2006,NA,"Unknown"
"E01000023",1,3,2006,NA,"Unknown"
"E01000023",1,10,2006,NA,"Unknown"
"E01000023",1,10,2006,NA,"Unknown"
"E01000023",1,12,2006,NA,"Unknown"
"E01000023",1,11,2006,NA,"Unknown"
"E01000023",1,3,2006,NA,"Unknown"
"E01000023",1,3,2006,NA,"Unknown"
"E01000023",1,9,2006,NA,"Unknown"
"E01000023",1,9,2006,NA,"Unknown"
"E01000023",1,11,2006,NA,"Unknown"
"E01000023",1,10,2006,NA,"Unknown"
"E01000023",1,12,2006,NA,"Unknown"
"E01000023",1,2,2006,NA,"Unknown"
"E01000023",1,10,2006,NA,"Unknown"
"E01000023",1,11,2006,NA,"Unknown"
"E01000023",1,7,2006,NA,"Unknown"
"E01000023",1,7,2006,NA,"Unknown"
"E01000023",1,9,2006,NA,"Unknown"
"E01000023",1,2,2006,NA,"Unknown"
"E01000024",1,7,2006,NA,"Unknown"
"E01000024",1,4,2006,NA,"Unknown"
"E01000024",1,9,2006,NA,"Unknown"
"E01000024",1,7,2006,NA,"Unknown"
"E01000024",1,5,2006,NA,"Unknown"
"E01000024",1,4,2006,NA,"Unknown"
"E01000024",1,10,2006,NA,"Unknown"
"E01000024",1,5,2006,NA,"Unknown"
"E01000024",1,11,2006,NA,"Unknown"
"E01000024",1,6,2006,NA,"Unknown"
"E01000024",1,5,2006,NA,"Unknown"
"E01000024",1,6,2006,NA,"Unknown"
"E01000024",1,11,2006,NA,"Unknown"
"E01000024",1,10,2006,NA,"Unknown"
"E01000024",1,8,2006,NA,"Unknown"
"E01000024",1,7,2006,NA,"Unknown"
"E01000025",1,9,2006,NA,"Unknown"
"E01000025",1,4,2006,NA,"Unknown"
"E01000025",1,11,2006,NA,"Unknown"
"E01000025",1,8,2006,NA,"Unknown"
"E01000025",1,9,2006,NA,"Unknown"
"E01000025",1,4,2006,NA,"Unknown"
"E01000025",1,2,2006,NA,"Unknown"
"E01000025",1,11,2006,NA,"Unknown"
"E01000025",1,9,2006,NA,"Unknown"
"E01000025",1,10,2006,NA,"Unknown"
"E01000025",1,5,2006,NA,"Unknown"
"E01000025",1,11,2006,NA,"Unknown"
"E01000025",1,3,2006,NA,"Unknown"
"E01000025",1,12,2006,NA,"Unknown"
"E01000025",1,10,2006,NA,"Unknown"
"E01000025",1,5,2006,NA,"Unknown"
"E01000025",1,10,2006,NA,"Unknown"
"E01000025",1,2,2006,NA,"Unknown"
"E01000025",1,12,2006,NA,"Unknown"
"E01000025",1,11,2006,NA,"Unknown"
"E01000027",1,9,2006,NA,"Unknown"
"E01000027",1,4,2006,NA,"Unknown"
"E01000027",1,9,2006,NA,"Unknown"
"E01000027",1,4,2006,NA,"Unknown"
"E01000027",1,10,2006,NA,"Unknown"
"E01000027",1,2,2006,NA,"Unknown"
"E01000027",1,3,2006,NA,"Unknown"
"E01000027",1,12,2006,NA,"Unknown"
"E01000027",1,2,2006,NA,"Unknown"
"E01000027",1,10,2006,NA,"Unknown"
"E01000027",1,12,2006,NA,"Unknown"
"E01000027",1,6,2006,NA,"Unknown"
"E01000027",1,1,2006,NA,"Unknown"
"E01000027",1,9,2006,NA,"Unknown"
"E01000027",1,9,2006,NA,"Unknown"
"E01000027",1,3,2006,NA,"Unknown"
"E01000027",1,12,2006,NA,"Unknown"
"E01000027",1,10,2006,NA,"Unknown"
"E01000027",1,3,2006,NA,"Unknown"
"E01000027",1,7,2006,NA,"Unknown"
"E01000027",1,8,2006,NA,"Unknown"
